Q107494520,physics award
Q15056993,aircraft family
Q9430,ocean
Q12909644,political ideology
Q83267,crime
Q21605492,NASA program
Q13226541,human spaceflight program
Q6065085,political party in Spain
Q148578,space observatory
Q1062138,Ritchey–Chrétien telescope
Q17524420,aspect of history
Q4176199,cold war
Q1469686,perpetual war
Q864113,proxy war
Q109335991,Tradition
Q9174,religion
Q879146,Christian denomination
Q41397,genocide
Q13634374,ethnic violence
Q189445,bicameral legislature
Q1641112,social formation
Q43229,organization
Q47064,military personnel
Q781132,military branch
Q366301,research expedition
Q1309431,structural failure
Q15142889,weapon family
Q42744322,urban municipality of Germany
Q14784328,state capital in Germany
Q1547289,Luther city
Q1187811,college town
Q707813,Hanseatic city
Q61708053,independent city of Saxony-Anhalt
Q1127126,military alliance
Q484652,international organization
Q1344897,whistleblower platform
Q1243067,double monastery
Q160742,abbey
Q625994,convention
Q1289426,county of China
Q217327,suicide attack
Q18493502,suicide bombing
Q2558684,world day
Q577764,communications system
Q418,telecommunication
Q350604,armed conflict
Q24336068,mythical war
Q2716259,metropolitan municipality in Turkey
Q2264924,port settlement
Q106658,district
Q17302772,rural district of Saxony-Anhalt
Q61793460,rural district of Brandenburg
Q106517174,Option municipality
Q1221156,state of Germany
Q23006,Verbandsgemeinde
Q1307779,integrated municipality
Q82794,geographic region
Q16521,taxon
Q43702,federation
Q619610,social state
Q4209223,Rechtsstaat
Q262166,municipality of Germany
Q4022,river
Q179164,unitary state
Q15584664,city under municipality jurisdiction in Latvia
Q925381,city with powiat rights
Q127448,municipality of Sweden
Q2198484,municipal district
Q12813115,urban area in Sweden
Q11881845,city
Q15978299,municipality with town privileges in the Czech Republic
Q257978,statutory city
Q5153359,municipality of the Czech Republic
Q7841907,municipality with authorized municipal office
Q7819319,Czech municipality with expanded powers
Q1129474,cultural landscape
Q185145,great power
Q85332736,district of Lower Saxony
Q134626,district capital
Q20738811,rural district of North Rhine-Westphalia
Q618779,award
Q2312410,sports discipline
Q209495,historical province of France
Q53534649,cycling team season
Q484170,commune of France
Q1254874,television network
Q46831,mountain range
Q33881,Tour de France
Q22231107,2.UWT
Q11488158,corporate title
Q20638319,UCI ProTeam
Q382927,UCI Professional Continental Team
Q6154783,UCI WorldTeam
Q7543083,avenue
Q54114,boulevard
Q866427,Grand Tour
Q55619935,dictionary of the Danish language
Q192611,electoral district
Q161243,dependent territory
Q175185,rural area
Q1852859,populated place in the Netherlands
Q1787111,biographical dictionary
Q123705,neighborhood
Q2177636,municipality of Denmark
Q253019,Ortsteil
Q532,village
Q1128340,index term
Q20746389,missionary society
Q33829,human population
Q6266,nation
Q208500,principality
Q574299,provinces of Prussia
Q47566,United States presidential election
Q328468,Nazi concentration camp
Q2772772,military museum
