1,Q5823,vi
2,Q571033,vi
3,Q7414,vi
4,Q2280045,vi
5,Q81294,vi
6,Q35765,vi
7,Q46,vi
8,Q421253,vi
9,Q51,vi
10,Q132659,vi
11,Q1860,vi
12,Q203,vi
13,Q46747,vi
14,Q856089,vi
15,Q12557,vi
16,Q1493218,vi
17,Q697,vi
18,Q146790,vi
19,Q127417,vi
20,Q42979,vi
21,Q200464,vi
22,Q35094,vi
23,Q928831,vi
24,Q35500,vi
25,Q42418,vi
26,Q4917,vi
27,Q186075,vi
28,Q13957,vi
29,Q1754,vi
30,Q41621,vi
31,Q18656,vi
32,Q184843,vi
33,Q195454,vi
34,Q172,vi
35,Q9202,vi
36,Q153,vi
37,Q30002,vi
38,Q1811,vi
39,Q252,vi
40,Q918,vi
41,Q173496,vi
42,Q851,vi
43,Q374365,vi
44,Q1858,vi
45,Q128570,vi
46,Q1423657,vi
47,Q187052,vi
48,Q1474884,vi
49,Q778,vi
50,Q131694,vi
51,Q13088,vi
52,Q1041,vi
53,Q92161,vi
54,Q38,vi
55,Q134494,vi
56,Q1422,vi
57,Q37951,vi
58,Q193,vi
59,Q79961,vi
60,Q413,vi
61,Q12980,vi
62,Q4628,vi
63,Q7033,vi
64,Q23548,vi
65,Q550,vi
66,Q641362,vi
67,Q37068,vi
68,Q1406,vi
69,Q238,vi
70,Q23883,vi
71,Q228,vi
72,Q784,vi
73,Q387066,vi
74,Q18633,vi
75,Q42211,vi
76,Q83276,vi
77,Q155,vi
78,Q49117,vi
79,Q8131,vi
80,Q2487,vi
81,Q6610,vi
82,Q9129,vi
83,Q16520,vi
84,Q43296,vi
85,Q487255,vi
86,Q36288,vi
87,Q185802,vi
88,Q137816,vi
89,Q45813,vi
90,Q320967,vi
91,Q1239,vi
92,Q836,vi
93,Q855,vi
94,Q13091,vi
95,Q241,vi
96,Q264456,vi
97,Q50056,vi
98,Q265,vi
99,Q59,vi
100,Q2736,vi
101,Q8201,vi
102,Q696891,vi
103,Q2283,vi
104,Q25274,vi
105,Q11772,vi
106,Q1019,vi
107,Q234510,vi
108,Q18125,vi
109,Q796,vi
110,Q13008,vi
111,Q152838,vi
112,Q881,vi
113,Q7341,vi
114,Q184963,vi
115,Q23792,vi
116,Q5301,vi
117,Q1045,vi
118,Q49088,vi
119,Q83320,vi
120,Q10257,vi
121,Q187702,vi
122,Q41506,vi
123,Q28567,vi
124,Q4087,vi
125,Q37643,vi
126,Q657,vi
127,Q525,vi
128,Q82500,vi
129,Q45700,vi
130,Q712794,vi
131,Q2773,vi
132,Q99236,vi
133,Q1754624,vi
134,Q339,vi
135,Q12562,vi
136,Q189248,vi
137,Q10460,vi
138,Q612,vi
139,Q132874,vi
140,Q14268,vi
141,Q42097,vi
142,Q182865,vi
143,Q678,vi
144,Q1143333,vi
145,Q12389,vi
146,Q188694,vi
147,Q182653,vi
148,Q664,vi
149,Q345,vi
150,Q192733,vi
151,Q220,vi
152,Q483604,vi
153,Q25282,vi
154,Q180182,vi
155,Q842,vi
156,Q23350,vi
157,Q270,vi
158,Q2432,vi
159,Q168713,vi
160,Q49085,vi
161,Q1792,vi
162,Q9061,vi
163,Q130754,vi
164,Q1780,vi
165,Q6837,vi
166,Q200325,vi
167,Q1865,vi
168,Q313,vi
169,Q8646,vi
170,Q780442,vi
171,Q7108,vi
172,Q5146,vi
173,Q20927,vi
174,Q139921,vi
175,Q683566,vi
176,Q1049,vi
177,Q1013,vi
178,Q6691,vi
179,Q41076,vi
180,Q757,vi
181,Q1156,vi
182,Q312,vi
183,Q4658,vi
184,Q823591,vi
185,Q456,vi
186,Q44440,vi
187,Q7781,vi
188,Q740780,vi
189,Q37340,vi
190,Q2469,vi
191,Q134301,vi
192,Q2111,vi
193,Q191788,vi
194,Q35355,vi
195,Q2407,vi
196,Q18625,vi
197,Q186012,vi
198,Q18216,vi
199,Q826,vi
200,Q6403,vi
201,Q184425,vi
202,Q42780,vi
203,Q12567,vi
204,Q855198,vi
205,Q2256,vi
206,Q1486,vi
207,Q869,vi
208,Q106333,vi
209,Q101452,vi
210,Q9199,vi
211,Q79897,vi
212,Q225,vi
213,Q26678,vi
214,Q763,vi
215,Q79965,vi
216,Q5764,vi
217,Q105570,vi
218,Q69808,vi
219,Q234025,vi
220,Q7270,vi
221,Q79911,vi
222,Q733498,vi
223,Q56036,vi
224,Q12138,vi
225,Q188439,vi
226,Q8740,vi
227,Q185264,vi
228,Q183536,vi
229,Q5813,vi
230,Q485500,vi
231,Q221734,vi
232,Q18623,vi
233,Q407473,vi
234,Q10390,vi
235,Q25290,vi
236,Q155174,vi
237,Q11254,vi
238,Q596,vi
239,Q80290,vi
240,Q523469,vi
241,Q297315,vi
242,Q2843,vi
243,Q6294,vi
244,Q83303,vi
245,Q235311,vi
246,Q32,vi
247,Q64,vi
248,Q8134,vi
249,Q15854651,vi
