0,Q326301
1,Q206778
2,Q18700746
3,Q76823
4,Q3482122
5,Q645904
6,Q1037346
7,Q203647
8,Q11585985
9,Q11563458
10,Q11595520
11,Q11397092
12,Q11416504
13,Q213763
14,Q233588
15,Q6634
16,Q7839610
17,Q712714
18,Q357242
19,Q1373572
20,Q1954307
21,Q187336
22,Q11408059
23,Q1165451
24,Q244909
25,Q11613166
26,Q5654449
27,Q167733
28,Q711590
29,Q360949
30,Q316780
31,Q30953
32,Q17223353
33,Q1325591
34,Q1069105
35,Q11662322
36,Q1131949
37,Q47598
38,Q2375220
39,Q634777
40,Q11242480
41,Q10874075
42,Q11540647
43,Q15976358
44,Q296129
45,Q11461042
46,Q131969
47,Q11375619
48,Q360028
49,Q7692360
50,Q11579232
51,Q55210
52,Q284667
53,Q340517
54,Q4803408
55,Q684837
56,Q5878327
57,Q38918
58,Q386246
59,Q57092
60,Q11386547
61,Q34442
62,Q4357542
63,Q1538336
64,Q11234133
65,Q212854
66,Q179230
67,Q705693
68,Q47012798
69,Q909166
70,Q11508833
71,Q160453
72,Q11585980
73,Q20706561
74,Q11277164
75,Q253900
76,Q11595461
77,Q1521725
78,Q11418825
79,Q11505641
80,Q1054418
81,Q2798240
82,Q164621
83,Q18716
84,Q11575885
85,Q909452
86,Q132001
87,Q1190340
88,Q11274530
89,Q598113
90,Q243312
91,Q35784
92,Q158398
93,Q36033
94,Q210991
95,Q187938
96,Q1044127
97,Q2756999
98,Q499552
99,Q814447
100,Q223723
101,Q6157611
102,Q11595546
103,Q944697
104,Q210730
105,Q3272189
106,Q25052149
107,Q357685
108,Q490809
109,Q83320
110,Q11352498
111,Q11540374
112,Q201054
113,Q1053094
114,Q6447936
115,Q11438714
116,Q1047699
117,Q204212
118,Q1206422
119,Q4778653
120,Q2424657
121,Q190882
122,Q1339743
123,Q850920
124,Q13160
125,Q76976
126,Q11290039
127,Q65238864
128,Q6131010
129,Q103618
130,Q11503008
131,Q319029
132,Q272281
133,Q485771
134,Q11563873
135,Q487494
136,Q48226
137,Q11188169
138,Q65235563
139,Q1378498
140,Q466
141,Q233559
142,Q868763
143,Q1150212
144,Q858782
145,Q11377801
146,Q221289
147,Q11294996
148,Q1680269
149,Q43513
150,Q11663976
151,Q11917765
152,Q40864
153,Q4037100
154,Q1058730
155,Q704587
156,Q12269769
157,Q11483277
158,Q11364808
159,Q11549040
160,Q14931612
161,Q505119
162,Q59261
163,Q184047
164,Q4002867
165,Q207601
166,Q209016
167,Q29919
168,Q184286
169,Q10189
170,Q8192099
171,Q11566279
172,Q172937
173,Q19437
174,Q801447
175,Q181138
176,Q648280
177,Q1980652
178,Q1071410
179,Q701983
180,Q3066239
181,Q897040
182,Q193275
183,Q385461
184,Q2333
185,Q6158099
186,Q832435
187,Q186418
188,Q44796
189,Q8011313
190,Q11630725
